country,WASTECXN.1995,WASTECXN.2000,WASTECXN.2005,WASTECXN.2010,WASTECXN.2014,,,,
Aruba,NA,NA,NA,NA,NA,,,,
Afghanistan,NA,NA,NA,NA,0,,,,
Angola,NA,NA,NA,0,0,,,,
Anguilla,NA,NA,NA,NA,NA,,,,
Albania,NA,NA,NA,NA,5.136225,,,,
Andorra,NA,3.6,23.8,77.3666666666667,NA,,,,
United Arab Emirates,NA,NA,NA,61.3089,87.141,,,,
Argentina,NA,18.0625,18.0625,NA,7.67,,,,
Armenia,20.9607,20.6804,20.9747,22.7752,11.4905,,,,
American Samoa,NA,NA,NA,NA,40.9767,,,,
Antigua and Barbuda,NA,NA,NA,NA,NA,,,,
Australia,NA,NA,NA,NA,95,,,,
Austria,56.6993,70.7799,76.49605,88.690244375,94.3061733333333,,,,
Azerbaijan,NA,NA,9,9.53133333333333,9.7298,,,,
Burundi,NA,NA,NA,NA,0,,,,
Belgium,25.3682186666667,31.8963512,43.2106933,67.110064,89.77596,,,,
Benin,NA,NA,NA,NA,0.0084,,,,
Burkina Faso,NA,NA,NA,NA,0,,,,
Bangladesh,NA,NA,NA,NA,0,,,,
Bulgaria,24.12,24.598,36.169236,52.9253004,60.8093964,,,,
Bahrain,42.2566666666667,50.518,64.16,75.6966666666667,72.68,,,,
The Bahamas,NA,NA,NA,NA,NA,,,,
Bosnia and Herzegovina,NA,NA,NA,NA,0,,,,
Belarus,84.95425,82.56694,86.94676,93.0137,7.18,,,,
Belize,NA,2.2801,NA,NA,2.2801,,,,
Bermuda,NA,NA,0.25,0.25,0.25,,,,
Bolivia,NA,10.38,NA,NA,3.509,,,,
Brazil,NA,NA,NA,11.934,17.556,,,,
Barbados,NA,NA,NA,NA,NA,,,,
Brunei Darussalam,NA,NA,NA,NA,NA,,,,
Bhutan,NA,NA,NA,NA,0,,,,
Botswana,NA,NA,NA,NA,0.95,,,,
Central African Republic,NA,NA,NA,NA,0,,,,
Canada,50.46465,53.2731,78.58522,73.4704805,69.8147305,,,,
Switzerland,89.305,91.50978,92.893716125,93.7459645,95.1643916666667,,,,
Chile,12.516,23.651,55.221308,76.890428,84.4975833333333,,,,
China,NA,7.581083,10.950039,NA,27.9342,,,,
Cote d'Ivoire,NA,NA,NA,NA,0.55,,,,
Cameroon,NA,NA,NA,NA,0,,,,
Dem. Rep. Congo,NA,NA,NA,NA,0,,,,
Congo,NA,NA,NA,NA,0.18,,,,
Cook Islands,NA,NA,NA,NA,NA,,,,
Colombia,NA,NA,NA,NA,12.243,,,,
Comoros,NA,NA,NA,NA,NA,,,,
Cape Verde,NA,NA,NA,NA,NA,,,,
Costa Rica,NA,0.84,NA,NA,3.8912,,,,
Cuba,8.109,8.57164,9.2832,8.856,8.283,,,,
Curacao,NA,NA,NA,NA,NA,,,,
Cayman Islands,NA,NA,NA,NA,NA,,,,
Cyprus,1.09666666666667,1.868,27.898,100,14.9,,,,
Czech Republic,39.66436,45.0059,52.4235,56.6317878,63.007634,,,,
Germany,81.5085,85.8864,88.59135,93.12,95.3016,,,,
Djibouti,NA,NA,NA,NA,0,,,,
Dominica,NA,NA,2.99,2.99,2.99,,,,
Denmark,76.0167,77.690677,77.0972905,85.08045,91.5954306,,,,
Dominican Republic,NA,9.8,NA,NA,40.421,,,,
Algeria,NA,24.9,28.708,39.445,45.0933333319,,,,
Ecuador,NA,NA,NA,NA,0,,,,
Egypt,NA,NA,NA,NA,28.35,,,,
Eritrea,NA,NA,NA,NA,0,,,,
Spain,NA,75.33,90.5,90.55875,94.5219166666667,,,,
Estonia,55.44,49.728,52.015,63.776,71.860259,,,,
Ethiopia,NA,NA,NA,NA,0,,,,
Finland,59.91,63.372,65.61,NA,83.7225,,,,
Fiji,NA,NA,NA,NA,3.9,,,,
Falkland Islands,NA,NA,NA,NA,NA,,,,
France,60.83,62.7702915,68.593956875,NA,79.56355,,,,
Faeroe Islands,NA,NA,NA,NA,NA,,,,
Micronesia,NA,NA,NA,NA,NA,,,,
Gabon,NA,NA,NA,NA,0,,,,
United Kingdom,82.896,78.96,95.2575,94.18443825,96.338194,,,,
Georgia,NA,NA,NA,NA,0,,,,
Ghana,NA,NA,NA,NA,1.1854838709,,,,
Gibraltar,NA,NA,NA,NA,NA,,,,
Guinea,NA,NA,1,1.084,0.605,,,,
Guadeloupe,NA,16.2405,15.7641,NA,15.7641,,,,
The Gambia,NA,NA,NA,NA,0.4,,,,
Guinea-Bissau,NA,NA,NA,NA,0,,,,
Equatorial Guinea,NA,NA,NA,NA,1.25,,,,
Greece,37.935,37.935,NA,74.244546,77.6235665,,,,
Grenada,NA,NA,NA,NA,NA,,,,
Greenland,NA,NA,NA,NA,NA,,,,
Guatemala,NA,NA,NA,NA,6.8,,,,
French Guiana,NA,6.8388,17.1568,NA,17.1568,,,,
Guam,NA,NA,NA,NA,NA,,,,
Guyana,NA,NA,NA,0,0.65,,,,
Hong Kong,NA,86.3867333333333,87.91908,86.78804,90.9312,,,,
Honduras,NA,NA,NA,NA,1.78,,,,
Croatia,NA,3.5288,4.9532,3.1004,50.22907,,,,
Haiti,NA,NA,NA,NA,0,,,,
Hungary,9.48376,17.378424,32.671862,42.294452,51.0991787744159,,,,
Indonesia,NA,NA,NA,NA,0.02,,,,
Isle of Man,NA,NA,NA,NA,NA,,,,
India,NA,NA,NA,NA,2.2464,,,,
Ireland,49.2833333333333,65.12,72.45,59.543599,51.1074435,,,,
Iran,NA,NA,NA,NA,3.73,,,,
Iraq,NA,NA,6.6049,6.6049,9.69296024065,,,,
Iceland,3.24,17.064,46.3335,70.80375,60.06,,,,
Israel,72.504,82.6319,86.97074,91.67132,94.27076,,,,
